000001,R001,0,32,0,40,4500,1720,2023-12-28,Yes
000002,R007,0,10,0,15,4500,1720,2023-12-29,Yes
000003,R008,0,30,0,20,4500,1720,2023-12-30,Yes
000004,R0016,0,20,0,20,4500,1720,2023-12-31,Yes
000005,R0017,0,35,0,40,4500,1720,2023-12-31,Yes
000006,R001,32,0,40,0,4500,1720,2024-1-0,No
000007,R002,0,0,0,0,4500,1720,2024-1-0,No
000008,R003,0,0,0,0,4500,1720,2024-1-0,No
000009,R004,0,0,0,0,4500,1720,2024-1-0,No
000010,R005,0,0,0,0,4500,1720,2024-1-0,No
000011,R006,0,0,0,0,4500,1720,2024-1-0,No
000012,R007,10,0,15,0,4500,1720,2024-1-0,No
000013,R008,30,0,20,0,4500,1720,2024-1-0,No
000014,R009,0,0,0,0,4500,1720,2024-1-0,No
000015,R010,0,0,0,0,4500,1720,2024-1-0,No
000016,R011,0,0,0,0,4500,1720,2024-1-0,No
000017,R012,0,0,0,0,4500,1720,2024-1-0,No
000018,R013,0,0,0,0,4500,1720,2024-1-0,No
000019,R014,0,0,0,0,4500,1720,2024-1-0,No
000020,R015,0,0,0,0,4500,1720,2024-1-0,No
000021,R016,20,0,20,0,4500,1720,2024-1-0,No
000022,R017,35,0,40,0,4500,1720,2024-1-0,No
000023,R018,0,0,0,0,4500,1720,2024-1-0,No
000024,R019,0,0,0,0,4500,1720,2024-1-0,No
000025,R020,0,0,0,0,4500,1720,2024-1-0,No
000026,R021,0,0,0,0,4500,1720,2024-1-0,No
000027,R022,0,0,0,0,4500,1720,2024-1-0,No
000028,R023,0,0,0,0,4500,1720,2024-1-0,No
000029,R024,0,0,0,0,4500,1720,2024-1-0,No
000030,R025,0,0,0,0,4500,1720,2024-1-0,No
