000001,R001,2023-12-28,2500000,Yes
000002,R007,2023-12-29,2200000,Yes
000003,R008,2023-12-30,2200000,Yes
000004,R016,2023-12-31,1800000,Yes
000005,R017,2023-12-31,1800000,Yes
000006,R001,2024-1-0,2500000,No
000007,R002,2024-1-0,2500000,No
000008,R003,2024-1-0,2500000,No
000009,R004,2024-1-0,2500000,No
000010,R005,2024-1-0,2500000,No
000011,R006,2024-1-0,2200000,No
000012,R007,2024-1-0,2200000,No
000013,R008,2024-1-0,2200000,No
000014,R016,2024-1-0,1800000,No
000015,R017,2024-1-0,1800000,No
000016,R018,2024-1-0,1500000,No
000017,R021,2024-1-0,1200000,No
000018,R022,2024-1-0,1200000,No
